batch_i,episode_len,loss,value_loss,policy_loss,kl_divergence,lr_multiplier,win_ratio,win_count,loss_count,tie_count
119,9,3.562189817428589,0.23245681822299957,3.329732894897461,0.016200483,0.2962962962962963,,,,
120,9,3.5519542694091797,0.27167457342147827,3.2802796363830566,0.014379593,0.2962962962962963,,,,
121,13,3.536578416824341,0.2138901650905609,3.322688341140747,0.01650669,0.2962962962962963,,,,
122,11,3.4432857036590576,0.2012328803539276,3.2420527935028076,0.017212823,0.2962962962962963,,,,
123,9,3.4404845237731934,0.24092769622802734,3.199556827545166,0.016010787,0.2962962962962963,,,,
124,29,3.5105278491973877,0.25217658281326294,3.2583513259887695,0.018963922,0.2962962962962963,,,,
125,13,3.494992971420288,0.19329598546028137,3.301697015762329,0.016754605,0.2962962962962963,,,,
126,23,3.472141742706299,0.21508926153182983,3.257052421569824,0.01429793,0.2962962962962963,,,,
127,31,3.423696517944336,0.20888157188892365,3.2148149013519287,0.021459023,0.2962962962962963,,,,
128,21,3.520592451095581,0.2496422976255417,3.2709500789642334,0.025680268,0.2962962962962963,,,,
129,21,3.436020612716675,0.24610963463783264,3.189910888671875,0.028730286,0.2962962962962963,,,,
130,10,3.50223970413208,0.23606741428375244,3.266172409057617,0.015987538,0.2962962962962963,,,,
131,14,3.4144880771636963,0.2898457646369934,3.1246423721313477,0.01722136,0.2962962962962963,,,,
132,17,3.4155490398406982,0.2808499336242676,3.1346991062164307,0.017174203,0.2962962962962963,,,,
133,19,3.389310836791992,0.22226504981517792,3.167045831680298,0.019728187,0.2962962962962963,,,,
134,9,3.3355391025543213,0.2486032396554947,3.0869357585906982,0.015262096,0.2962962962962963,,,,
135,11,3.308729887008667,0.23226338624954224,3.0764665603637695,0.015961437,0.2962962962962963,,,,
136,23,3.335225820541382,0.1972951889038086,3.1379306316375732,0.021925371,0.2962962962962963,,,,
137,11,3.2262625694274902,0.18490999937057495,3.0413525104522705,0.012011445,0.2962962962962963,,,,
138,11,3.304543972015381,0.220328688621521,3.0842151641845703,0.011173692,0.2962962962962963,,,,
139,11,3.218126058578491,0.18624494969844818,3.031881093978882,0.020489063,0.2962962962962963,,,,
140,9,3.252474308013916,0.18028536438941956,3.0721888542175293,0.014256538,0.2962962962962963,,,,
141,9,3.221823215484619,0.17578265070915222,3.0460405349731445,0.013718987,0.2962962962962963,,,,
142,11,3.260826587677002,0.18206475675106049,3.0787618160247803,0.010112744,0.2962962962962963,,,,
143,46,3.3540968894958496,0.30982714891433716,3.0442698001861572,0.015718132,0.2962962962962963,,,,
144,15,3.226501941680908,0.34546419978141785,2.881037712097168,0.023227837,0.2962962962962963,,,,
145,38,3.411803722381592,0.3605608642101288,3.0512428283691406,0.016088601,0.2962962962962963,,,,
146,19,3.364701271057129,0.3259875178337097,3.0387136936187744,0.021516053,0.2962962962962963,,,,
147,15,3.2656021118164062,0.24738380312919617,3.0182182788848877,0.016915021,0.2962962962962963,,,,
148,22,3.3137612342834473,0.2628512382507324,3.050909996032715,0.024931498,0.2962962962962963,,,,
149,17,3.338482618331909,0.3363913595676422,3.0020911693573,0.029116616,0.2962962962962963,,,,
150,19,3.294610023498535,0.26899251341819763,3.0256175994873047,0.030494839,0.2962962962962963,,,,
151,15,3.199843406677246,0.2575302720069885,2.9423131942749023,0.022564432,0.2962962962962963,,,,
152,18,3.313356399536133,0.31517016887664795,2.9981861114501953,0.020655,0.2962962962962963,,,,
153,16,3.24979305267334,0.30314433574676514,2.9466488361358643,0.02515003,0.2962962962962963,,,,
154,11,3.256255865097046,0.3346239924430847,2.9216318130493164,0.02617341,0.2962962962962963,,,,
